Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
11,161.65,floor_heating,0,1,40.0,1893.09,2017.0,110664680,1,1,1640.6,97.9,first_time_use,3,1,apartment,3.0,4.0,6.0,0,Mitte_Mitte,83.3,0,"Chausseestraße 41 c, 10115 Berlin, Germany",above_average
12,291.28,central_heating,0,0,40.0,1747.63,1900.0,115218458,1,1,1456.35,97.09,refurbished,2,0,apartment,3.0,2.0,5.0,0,Prenzlauer_Berg_Prenzlauer_Berg,145.6,0,"Schönhauser Allee 68, 10437 Berlin, Germany",above_average
13,115.75,self_contained_central_heating,0,0,2.4,618.21,1927.0,111377979,0,0,502.46,62.75,modernized,3,0,raised_ground_floor,2.5,0.0,4.0,1,Mariendorf_Tempelhof,87.8,0,"Gersdorfstr. 67, 12105 Berlin, Germany",below_average
14,55.0,central_heating,0,0,40.0,399.84,1900.0,115232156,0,0,309.84,35.0,well_kept,3,0,apartment,1.0,1.0,5.0,0,Neukölln_Neukölln,35.0,0,"Weserstr. 204, 12047 Berlin, Germany",below_average
15,319.74,central_heating,0,1,32.1,2018.38,1980.0,115442980,0,0,1698.64,99.92,refurbished,1,0,maisonette,3.0,5.0,5.0,0,Prenzlauer_Berg_Prenzlauer_Berg,149.9,0,"Oderberger Straße 51/ 52, 10435 Berlin, Germany",above_average
16,100.0,district_heating,0,1,40.0,1000.0,1975.0,111391200,1,1,845.0,41.58,first_time_use,2,0,apartment,2.0,6.0,7.0,0,Tiergarten_Tiergarten,55.0,1,"Spenerstraße 36, 10557 Berlin, Germany",below_average
17,170.0,central_heating,0,0,40.0,1567.7,1910.0,115169848,0,0,1247.7,145.0,well_kept,3,0,ground_floor,4.5,0.0,4.0,0,Schmargendorf_Wilmersdorf,150.0,0,"Hohenzollerndamm 53, 14199 Berlin, Germany",above_average
18,151.0,central_heating,0,0,10.0,1399.0,1980.0,110091597,1,1,1189.0,82.0,refurbished,3,0,apartment,3.0,2.0,5.0,0,Wedding_Wedding,59.0,0,"Burgsdorfstraße 5, 13353 Berlin, Germany",above_average
19,50.0,central_heating,0,1,40.0,549.0,1997.0,113322564,1,1,449.0,47.0,well_kept,3,0,apartment,1.0,2.0,4.0,0,Köpenick_Köpenick,50.0,0,"Salvador-Allende-Str. 76D, 12559 Berlin, Germany",below_average
20,209.65,floor_heating,1,1,32.1,1289.65,2018.0,106922848,1,1,1080.0,59.9,first_time_use,2,1,terraced_flat,2.0,11.0,14.0,1,Tiergarten_Tiergarten,70.3,0,"Gabriele-Tergit-Promenade 59,9 21, 10963 Berlin, Germany",below_average
