Unnamed_0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,bezirk,bezirk_group,flat_group,condition_group
7935,310,floor_heating,0,1,40,3973.08,1831,115580210,1,1,3408.08,206.55,mint_condition,3,0,roof_storey,2,3,4,0,Mitte_Mitte,255,0,"Max-Beer-Straße 29, 10119 Berlin, Germany",Mitte,Central,Roof Storey,Well-maintained
405,80,self_contained_central_heating,0,0,40,595,1895,104459010,1,1,515,54.77,first_time_use,2,0,apartment,2,3,4,0,Weißensee_Weißensee,70.3,0,"Bizetstr. 43, 13088 Berlin, Germany",Weißensee,North,Apartment,New
6109,100,self_contained_central_heating,0,0,40,1610,1895,106391022,1,1,1510,80,mint_condition,3,0,apartment,4,5,6,0,Prenzlauer_Berg_Prenzlauer_Berg,140.5,0,"Knaackstr. 73, 10435 Berlin, Germany",PrenzlauerBerg,Central,Apartment,Well-maintained
473,164,central_heating,0,1,32.1,796,1895,114264073,1,1,632,47,first_time_use_after_refurbishment,3,1,raised_ground_floor,2,0,4,1,Lichtenberg_Lichtenberg,70.3,0,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Ground Floor,New
711,200,central_heating,0,1,32.1,999,1895,114264446,1,1,799,57,first_time_use_after_refurbishment,3,1,apartment,2,1,4,1,Lichtenberg_Lichtenberg,70.3,1,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Apartment,New
2742,179,central_heating,0,1,32.1,869,1895,115149547,1,1,690,51,first_time_use_after_refurbishment,2,1,raised_ground_floor,2,0,4,1,Lichtenberg_Lichtenberg,70.3,0,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Ground Floor,New
3034,145,central_heating,0,1,32.1,724,1895,113023173,1,1,579,41,first_time_use_after_refurbishment,3,1,apartment,1,1,4,1,Lichtenberg_Lichtenberg,35.1,0,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Apartment,New
3181,202,central_heating,0,1,32.1,981,1895,113019242,1,1,779,58,first_time_use_after_refurbishment,2,1,raised_ground_floor,2,0,4,1,Lichtenberg_Lichtenberg,70.3,0,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Ground Floor,New
4670,192,central_heating,0,1,32.1,906,1895,115402056,1,1,714,55,first_time_use_after_refurbishment,3,1,apartment,2,2,4,1,Lichtenberg_Lichtenberg,70.3,0,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Apartment,New
4768,178,central_heating,0,1,32.1,838,1895,114263689,1,1,660,51,first_time_use_after_refurbishment,3,1,raised_ground_floor,2,0,4,1,Lichtenberg_Lichtenberg,70.3,0,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Ground Floor,New
5472,178,central_heating,0,1,32.1,863,1895,113007430,1,1,685,51,first_time_use_after_refurbishment,3,1,raised_ground_floor,2,0,4,1,Lichtenberg_Lichtenberg,70.3,0,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Ground Floor,New
5807,535,central_heating,0,1,32.1,2521,1895,115666175,1,1,1986,153,first_time_use_after_refurbishment,3,1,maisonette,4,4,4,1,Lichtenberg_Lichtenberg,140.5,1,"Im Lindenhof 1, 10365 Berlin, Germany",Lichtenberg,East,Maisonette/Duplex,New
