,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress
1208,165.22,district_heating,False,True,2.4,685.97,1964.0,106076483,False,True,520.75,54.07,modernized,no,True,apartment,1.5,6.0,0.0,False,Spandau_Spandau,56.21,0,"Wasserwerkstr. 35, 13589 Berlin, Germany"
1278,124.2,central_heating,True,True,40.0,475.2,2019.0,111407639,False,False,351.0,54.0,first_time_use,no,False,apartment,2.0,2.0,5.0,False,Adlershof_Treptow,70.25322618168907,0,"Newtonstrasse 4 B, 12489 Berlin, Germany"
1296,71.66,central_heating,False,True,32.13564239968631,627.13,1900.0,111408559,False,False,503.87,57.33,need_of_renovation,negotiable,False,apartment,2.0,1.0,4.0,False,Friedenau_Schöneberg,51.6,0,"Rubensstraße 0, 12167 Berlin, Germany"
1316,123.83,central_heating,False,True,40.0,489.2,1930.0,115573335,False,False,365.37,51.0,first_time_use,no,False,ground_floor,2.0,1.0,3.0,False,Alt_Hohenschönhausen_Hohenschönhausen,70.25322618168907,0,"Große-Leege-Str. 47 a, 13055 Berlin, Germany"
1398,56.0,central_heating,False,False,40.0,700.0,1900.0,114344449,False,False,575.0,40.34,first_time_use,no,False,apartment,2.0,4.0,4.0,False,Wedding_Wedding,69.0,0,"Müllerstr. 67, 13349 Berlin, Germany"
1426,105.0,central_heating,False,False,40.0,1734.0,1980.0,111378418,True,False,1599.0,81.5,mint_condition,negotiable,False,apartment,3.0,2.0,4.0,False,Prenzlauer_Berg_Prenzlauer_Berg,105.37983927253362,0,"Straßburgerstr 60, 10405 Berlin, Germany"
1439,100.0,central_heating,False,True,40.0,660.0,1980.0,111312202,True,True,560.0,19.5,first_time_use,no,False,apartment,1.0,6.0,7.0,False,Mitte_Mitte,35.126613090844536,0,"Wadzeckstraße 4, 10178 Berlin, Germany"
1474,140.0,central_heating,False,True,40.0,1350.0,1980.0,114254627,False,True,1210.0,62.0,first_time_use,no,False,apartment,2.0,1.0,4.0,False,Schöneberg_Schöneberg,70.25322618168907,0,"Ansbacher Straße 61, 10777 Berlin, Germany"
1476,125.0,self_contained_central_heating,False,False,10.0,750.0,1920.0,99676399,False,True,625.0,78.88,first_time_use_after_refurbishment,negotiable,False,ground_floor,2.0,0.0,5.0,False,Friedrichshain_Friedrichshain,70.25322618168907,0,"Simon-Dach-Straße 26, 10245 Berlin, Germany"
1485,85.0,self_contained_central_heating,False,True,40.0,714.0,1900.0,74647964,False,False,629.0,59.95,refurbished,negotiable,False,apartment,2.0,1.0,6.0,False,Wedding_Wedding,70.25322618168907,0,"Kiautschoustraße 18, 13353 Berlin, Germany"
1537,368.76,district_heating,True,True,32.13564239968631,2244.62,2019.0,115174027,False,True,1763.63,160.33,first_time_use,negotiable,True,apartment,7.0,5.0,5.0,False,Weißensee_Weißensee,112.23,1,"Brodenbacher Weg 36, 13088 Berlin, Germany"
1577,110.0,central_heating,False,True,2.4,620.0,2016.0,98325573,False,False,510.0,38.0,first_time_use,negotiable,True,apartment,1.0,6.0,6.0,False,Friedrichsfelde_Lichtenberg,35.126613090844536,1,"Allee der Kosmonauten 21B, 10315 Berlin, Germany"
1610,410.05,self_contained_central_heating,True,False,40.0,3362.41,2019.0,114570388,False,True,2952.36,164.0,mint_condition,no,True,apartment,4.0,2.0,3.0,False,Prenzlauer_Berg_Prenzlauer_Berg,140.50645236337814,0,"Malmöer Straße, WE 23, 10439 Berlin, Germany"
1649,372.29,district_heating,False,True,40.0,2992.67,1992.0,111389979,True,True,2481.92,155.12,well_kept,negotiable,True,apartment,4.0,7.0,8.0,False,Charlottenburg_Charlottenburg,138.46,0,"Meinekestraße  20, 10719 Berlin, Germany"
1688,231.0,self_contained_central_heating,False,True,40.0,899.0,1957.0,107060125,False,False,668.0,81.14,modernized,negotiable,False,apartment,3.0,4.0,6.0,False,Siemensstadt_Spandau,105.37983927253362,0,"Nonnendammallee 100, 13629 Berlin, Germany"
1693,85.0,central_heating,False,True,40.0,1100.0,1905.0,113663285,True,False,973.0,57.95,first_time_use,no,False,apartment,2.0,1.0,7.0,False,Tiergarten_Tiergarten,42.0,0,"Ufnaustraße 2, 10553 Berlin, Germany"
1699,485.0,central_heating,True,True,32.13564239968631,2700.0,2019.0,115589954,True,True,2215.0,119.0,mint_condition,no,True,apartment,4.0,6.0,12.0,False,Tiergarten_Tiergarten,140.50645236337814,1,"Gabriele Tergit Promenade 21, 10963 Berlin, Germany"
1718,90.0,central_heating,False,False,40.0,490.0,1968.0,106960235,False,True,400.0,30.0,mint_condition,negotiable,True,apartment,1.0,1.0,7.0,False,Wilmersdorf_Wilmersdorf,35.126613090844536,0,"Bundesallee 17, 10717 Berlin, Germany"
1719,140.0,gas_heating,False,False,40.0,480.0,1980.0,115469335,True,False,340.0,20.0,first_time_use,no,True,apartment,1.0,4.0,4.0,False,Oberschöneweide_Köpenick,35.126613090844536,0,"Slabystraße 17, 12459 Berlin, Germany"
1732,90.0,self_contained_central_heating,False,True,40.0,1190.0,1905.0,111411127,True,False,1100.0,58.3,first_time_use,no,False,apartment,2.0,2.0,5.0,False,Pankow_Pankow,70.25322618168907,0,"Damerowstraße 60a, 13187 Berlin, Germany"
1763,87.0,district_heating,False,True,40.0,526.0,1985.0,105737676,False,True,439.0,35.49,modernized,no,True,apartment,1.0,3.0,6.0,False,Hellersdorf_Hellersdorf,41.0,0,"Havelländer Ring 15, 12629 Berlin, Germany"
1809,75.0,central_heating,False,False,40.0,700.0,1902.0,111248453,False,False,625.0,30.44,well_kept,no,False,apartment,1.0,0.0,6.0,False,Prenzlauer_Berg_Prenzlauer_Berg,35.0,0,"Korsörer Str. 09, 10437 Berlin, Germany"
1832,68.0,central_heating,False,False,40.0,559.0,1900.0,107355160,False,False,491.0,29.6,modernized,negotiable,False,apartment,1.0,3.0,4.0,False,Neukölln_Neukölln,27.0,0,"Kiehlufer 43, 12059 Berlin, Germany"
1854,394.0,central_heating,False,True,40.0,1882.0,1998.0,111265543,True,True,1488.0,87.55,fully_renovated,no,True,apartment,3.0,5.0,8.0,False,Tiergarten_Tiergarten,105.37983927253362,1,"Alte Potsdamer Straße 11, 10785 Berlin, Germany"
1868,176.91,district_heating,False,True,5.0,649.92,1964.0,104632776,False,True,473.01,56.92,modernized,no,True,ground_floor,2.0,0.0,5.0,False,Spandau_Spandau,61.56,0,"Burbacher Weg 3, 13583 Berlin, Germany"
1895,255.0,central_heating,False,True,40.0,1270.0,1999.0,107346031,True,False,1015.0,96.47,first_time_use,no,False,roof_storey,3.0,0.0,3.0,False,Grünau_Köpenick,105.37983927253362,0,"Regattastraße 67, 12527 Berlin, Germany"
1911,153.0,central_heating,False,True,40.0,1160.0,1980.0,113452528,True,True,1080.0,54.0,first_time_use,no,False,apartment,2.0,0.0,11.0,False,Neukölln_Neukölln,70.25322618168907,0,"Bendastraße 1, 12051 Berlin, Germany"
1918,200.0,central_heating,False,False,40.0,1000.0,1900.0,104623572,False,True,800.0,80.86,mint_condition,no,False,ground_floor,3.0,0.0,4.0,True,Köpenick_Köpenick,105.37983927253362,0,"Luisenstraße 23, 12557 Berlin, Germany"
1993,850.0,central_heating,False,False,10.0,7850.0,1900.0,106687406,True,True,7000.0,307.0,first_time_use,no,False,maisonette,5.0,0.0,6.0,True,Mitte_Mitte,175.63306545422267,0,"Linienstraße 165, 10115 Berlin, Germany"
2052,740.0,district_heating,False,True,40.0,3704.0,1895.0,113617210,True,True,2964.0,247.0,modernized,no,True,roof_storey,7.0,5.0,5.0,False,Charlottenburg_Charlottenburg,280.0,0,"Marburger Str 2, 10789 Berlin, Germany"
2062,70.0,central_heating,False,True,40.0,700.0,1920.0,110766545,True,True,570.0,57.0,negotiable,negotiable,False,apartment,2.0,3.0,4.0,False,Johannisthal_Treptow,60.0,0,"Sterndamm 100, 12487 Berlin, Germany"
2088,365.0,central_heating,False,True,32.13564239968631,1961.0,2017.0,111362317,True,True,1596.0,76.0,mint_condition,no,True,apartment,3.0,5.0,5.0,False,Kreuzberg_Kreuzberg,105.37983927253362,1,"Hallesche Straße 5, 10963 Berlin, Germany"
2158,0.0,central_heating,False,False,10.0,900.0,1980.0,107361362,False,False,900.0,45.0,well_kept,no,False,apartment,1.5,5.0,7.0,False,Tiergarten_Tiergarten,52.68991963626681,0,"Bredowstraße 41, 10551 Berlin, Germany"
2263,185.0,district_heating,False,True,32.13564239968631,1594.0,1980.0,106838043,True,True,1201.0,103.55,refurbished,no,False,apartment,3.0,1.0,16.0,False,Köpenick_Köpenick,208.0,0,"An der Filmfabrik 6, 12555 Berlin, Germany"
2274,219.75,district_heating,False,False,40.0,660.0,1980.0,113217403,False,False,440.25,61.85,modernized,no,True,apartment,2.0,3.0,4.0,False,Marzahn_Marzahn,74.16,0,"Bärensteinstr. 42, 12685 Berlin, Germany"
2307,200.0,central_heating,False,True,40.0,1067.24,2017.0,115404991,False,True,867.24,72.27,well_kept,negotiable,True,ground_floor,2.0,0.0,3.0,True,Grünau_Köpenick,70.25322618168907,1,"Dahmestraße 4a, 12527 Berlin, Germany"
2337,204.0,district_heating,False,False,40.0,953.0,1997.0,110905751,False,True,749.0,74.49,modernized,no,False,apartment,3.0,1.0,3.0,False,Karow_Weißensee,68.0,0,"Pfannschmitdtstr. 35, 13125 Berlin, Germany"
2342,150.0,district_heating,False,False,10.0,655.0,2016.0,110280587,True,False,505.0,21.0,mint_condition,no,True,apartment,1.0,3.0,3.0,False,Heinersdorf_Weißensee,35.126613090844536,0,"Tino-Schwierzina-Straße 30, 13089 Berlin, Germany"
2349,242.0,central_heating,False,True,2.4,1543.16,2015.0,95237488,False,False,1301.16,92.94,first_time_use,no,False,apartment,3.0,1.0,5.0,False,Tiergarten_Tiergarten,105.37983927253362,0,"Flottwellstraße 22, 10785 Berlin, Germany"
2355,166.16,central_heating,False,True,40.0,1250.75,1914.0,115669067,False,False,1084.59,100.1,first_time_use,no,False,apartment,3.0,4.0,4.0,False,Wilmersdorf_Wilmersdorf,105.37983927253362,0,"Bregenzer Straße 8, 10707 Berlin, Germany"
2367,198.0,central_heating,False,True,5.0,1601.0,1900.0,105872760,False,False,1299.0,84.72,modernized,no,False,apartment,3.0,1.0,4.0,False,Neukölln_Neukölln,104.0,0,"Fuldastraße  1, 12043 Berlin, Germany"
2436,110.0,central_heating,False,True,40.0,1048.0,1956.0,111045647,False,True,898.0,56.13,first_time_use_after_refurbishment,negotiable,False,raised_ground_floor,2.0,0.0,4.0,False,Schöneberg_Schöneberg,40.0,0,"Rosenheimer Straße 31, 10781 Berlin, Germany"
2457,100.0,district_heating,False,False,2.4,795.0,1904.0,110711076,True,True,695.0,50.0,first_time_use_after_refurbishment,no,False,ground_floor,1.0,0.0,5.0,False,Wedding_Wedding,35.126613090844536,0,"Triftstrasse 46, 13353 Berlin, Germany"
2469,210.0,central_heating,False,True,32.13564239968631,1560.0,1906.0,115440309,True,False,1350.0,103.0,first_time_use_after_refurbishment,no,False,apartment,3.0,1.0,5.0,False,Wilmersdorf_Wilmersdorf,100.0,0,"Blissestr. 58, 10713 Berlin, Germany"
2553,140.0,central_heating,False,False,40.0,1240.0,1954.0,113682620,False,True,960.0,97.79,need_of_renovation,no,True,apartment,3.0,4.0,13.0,False,Charlottenburg_Charlottenburg,140.0,1,"Reichsstr. 36, 14052 Berlin, Germany"
2637,50.0,central_heating,False,True,32.13564239968631,690.0,1980.0,115627782,True,False,640.0,10.0,modernized,no,False,apartment,1.0,1.0,2.0,False,Tiergarten_Tiergarten,35.126613090844536,0,"Klara Franke Straße 16, 10557 Berlin, Germany"
2652,90.0,floor_heating,False,False,10.0,499.0,1937.0,107313116,True,False,409.0,29.2,first_time_use,no,True,apartment,1.0,1.0,4.0,False,Lichterfelde_Steglitz,35.126613090844536,0,"Platz des 4 Juli 6, 14167 Berlin, Germany"
2657,300.0,district_heating,False,True,40.0,2050.0,2012.0,68847335,True,True,1750.0,109.0,mint_condition,no,True,apartment,3.0,1.0,2.0,False,Mitte_Mitte,105.37983927253362,1,"Bauhofstr. 6, 10117 Berlin, Germany"
2691,181.73,district_heating,False,False,40.0,576.58,1961.0,111410575,False,True,394.85,46.02,first_time_use,no,False,apartment,1.5,3.0,5.0,False,Spandau_Spandau,74.92,0,"Germersheimer Weg 88, 13583 Berlin, Germany"
2709,130.0,district_heating,False,True,40.0,699.0,1967.0,106910684,False,False,469.0,63.0,modernized,negotiable,True,apartment,2.0,4.0,14.0,False,Waidmannslust_Reinickendorf,100.0,0,"Zabel-Krüger-Damm 28, 13469 Berlin, Germany"
2724,100.0,self_contained_central_heating,False,True,10.0,510.0,1909.0,107379074,False,False,410.0,62.0,first_time_use,no,False,apartment,2.0,2.0,4.0,False,Reinickendorf_Reinickendorf,70.25322618168907,0,"Pankower Allee 86, 13409 Berlin, Germany"
2762,232.0,district_heating,False,True,40.0,892.0,1912.0,110807756,True,True,660.0,70.34,first_time_use_after_refurbishment,negotiable,False,apartment,2.0,1.0,2.0,False,Buch_Pankow,70.25322618168907,0,"Wiltbergstraße  50, 13125 Berlin, Germany"
2803,140.0,central_heating,False,True,2.4,2000.0,1995.0,107361112,True,True,1750.0,81.88,well_kept,no,False,apartment,3.0,3.0,3.0,False,Mitte_Mitte,110.0,1,"Rückerstraße 1, 10119 Berlin, Germany"
2829,60.0,central_heating,False,False,40.0,920.0,1893.0,113632492,False,True,770.0,70.0,well_kept,negotiable,False,apartment,2.0,4.0,4.0,False,Tiergarten_Tiergarten,90.0,0,"Rostocker Str. 18, 10553 Berlin, Germany"
2833,153.195,district_heating,False,False,2.4,387.32161309084455,1980.0,105291455,False,False,199.0,20.0,first_time_use,no,False,other,1.0,3.0,4.0,True,Lichtenrade_Tempelhof,35.126613090844536,0,"Alt-Lichtenrade 113-115, 12309 Berlin, Germany"
2846,150.0,central_heating,False,True,32.13564239968631,2150.0,1903.0,115369669,True,False,1850.0,92.0,mint_condition,no,True,apartment,2.0,2.0,5.0,False,Charlottenburg_Charlottenburg,150.0,0,"Kurfürstendamm 193, 10719 Berlin, Germany"
2848,99.0,central_heating,False,True,10.0,643.54,1930.0,113853973,False,True,488.54,55.39,first_time_use,no,False,ground_floor,2.0,13.0,16.0,False,Wittenau_Reinickendorf,56.0,0,"Drostestraße 7, 13509 Berlin, Germany"
2877,80.0,central_heating,False,False,40.0,729.0,1900.0,113555418,False,False,599.0,48.0,well_kept,negotiable,False,apartment,2.0,3.0,2.0,False,Tiergarten_Tiergarten,50.0,0,"Beusselstraße 31, 10553 Berlin, Germany"
2961,228.86,central_heating,False,True,40.0,794.74,1986.0,113809704,False,True,565.88,81.59,first_time_use,no,False,apartment,4.0,3.0,6.0,False,Hellersdorf_Hellersdorf,52.95,0,"Zossener Str. 169, 12627 Berlin, Germany"
3078,93.0,self_contained_central_heating,False,True,40.0,977.2532261816891,1901.0,106978520,False,False,814.0,52.52,first_time_use_after_refurbishment,yes,False,ground_floor,2.0,0.0,4.0,True,Friedrichshain_Friedrichshain,70.25322618168907,0,"Ebertystraße 54, 10249 Berlin, Germany"
3130,122.61,central_heating,True,False,32.13564239968631,1039.41,2019.0,110944919,False,False,819.0,81.9,first_time_use,no,True,apartment,2.0,3.0,4.0,False,Reinickendorf_Reinickendorf,97.8,0,"Rue du Commandant Jean Tulasne 4, 13405 Berlin, Germany"
3228,130.0,central_heating,False,False,40.0,530.0,1900.0,113134312,True,False,400.0,40.29,first_time_use,no,True,apartment,2.0,5.0,5.0,False,Oberschöneweide_Köpenick,70.25322618168907,0,"Gaußstraße 2, 12459 Berlin, Germany"
3463,87.35,floor_heating,False,True,32.13564239968631,1441.19,1980.0,106437749,True,False,1295.62,58.23,first_time_use,no,True,apartment,2.0,10.0,11.0,False,Friedrichshain_Friedrichshain,58.23,0,"Stralauer Platz 37/38, 10243 Berlin, Germany"
3486,55.0,floor_heating,True,True,40.0,873.4,2019.0,110408250,False,False,778.4,56.0,first_time_use,no,False,apartment,2.0,1.0,2.0,False,Karlshorst_Lichtenberg,40.0,0,"Robert-Siewert-Straße 55, 10318 Berlin, Germany"
3510,153.0,central_heating,False,True,40.0,950.0,1980.0,115658615,True,True,650.0,68.0,first_time_use,no,False,apartment,2.5,0.0,4.0,False,Buckow_Neukölln,87.81653272711134,0,"Alt-Buckow 23, 12349 Berlin, Germany"
3558,300.0,central_heating,False,True,40.0,1365.0,1900.0,113806419,True,False,1065.0,60.5,first_time_use_after_refurbishment,no,False,ground_floor,2.0,0.0,4.0,False,Wilmersdorf_Wilmersdorf,70.25322618168907,0,"Ringbahnstraße 12, 10711 Berlin, Germany"
3562,160.0,central_heating,False,True,10.0,1060.0,1917.0,42197499,True,True,900.0,77.0,fully_renovated,no,False,apartment,3.0,3.0,4.0,False,Lichtenberg_Lichtenberg,105.37983927253362,0,"Weitlingstraße 99, 10317 Berlin, Germany"
3576,124.18,central_heating,False,True,40.0,623.91,1958.0,107350025,False,False,450.59,58.77,first_time_use,no,False,apartment,2.0,1.0,3.0,False,Buckow_Neukölln,49.14,0,"Grüner Weg 96, 12351 Berlin, Germany"
