noRooms,totalRent,livingSpace,balcony
3.0,1700.0,98.98,True
3.0,1271.62,87.88,True
3.0,1700.0,76.0,True
4.0,2065.06,97.87,True
2.0,1021.77,53.22,True
3.5,1640.0,95.0,True
4.5,1800.0,113.7,True
1.0,700.0,40.62,False
3.0,2244.0,151.58,True
2.0,808.0,56.11,True
4.0,1735.0,103.99,True
2.0,649.0,56.0,True
3.0,1057.0,88.2,False
3.0,930.0,78.5,True
2.0,1800.0,87.0,True
2.0,1475.0,52.0,True
2.0,845.0,54.0,False
1.0,917.0,38.0,False
2.0,1400.0,65.5,True
1.0,710.0,10.0,True
2.0,1376.0,69.1,True
4.0,1190.0,79.42,True
2.0,1325.0,71.67,False
2.0,1275.0,75.6,False
3.0,1830.25,99.5,True
3.0,889.0,69.0,True
3.0,929.0,73.0,True
2.0,620.0,45.74,True
4.0,2179.0,95.8,True
2.0,1053.86,63.87,False
2.0,1850.0,87.0,False
3.0,1175.0,93.7,True
3.0,1485.0,93.85,True
3.0,699.15,69.14,True
2.0,1048.0,49.31,True
4.0,2998.24,128.68,True
4.0,950.0,85.0,True
4.0,1503.16,109.48,True
4.0,1270.0,94.13,True
3.0,1094.0,80.77,True
3.0,1332.11,102.47,True
1.0,627.0,39.41,False
2.0,1300.0,93.7,True
2.0,1295.8,65.4,True
4.0,2550.0,181.22,True
4.0,2011.0,102.0,True
2.0,1660.0,55.0,True
1.0,940.0,35.0,False
2.0,869.22,71.58,True
4.0,1925.0,105.0,True
1.0,449.0,33.0,False
2.0,1366.52,69.17,True
3.0,1136.0,93.0,False
3.0,968.0,90.13,True
2.0,1266.0,47.13,True
1.0,670.0,40.07,True
2.0,993.0,73.05,True
1.0,950.0,43.1,False
5.5,1985.0,142.0,True
2.0,747.0,47.79,True
2.0,1570.0,80.0,True
5.0,8706.0,274.0,True
3.0,1510.0,88.0,True
3.0,1757.11,84.68,True
3.0,1376.41,86.57,True
3.0,1427.3798392725337,75.0,False
5.0,1832.23,114.3,True
4.0,1637.92,112.96,True
4.0,2244.22,104.14,True
4.0,2105.0,119.0,True
3.0,867.02,74.38,True
2.0,958.0,59.0,False
3.0,1480.0,97.83,True
2.0,946.0,52.19,True
1.0,482.63,43.0,True
1.0,791.0,30.38,False
2.0,783.0,65.82,True
4.0,1199.0,104.68,True
3.0,590.06,68.49,True
3.0,1700.0,84.0,True
2.0,988.0,61.0,True
3.0,733.54,76.0,False
3.0,1115.32,82.9,True
3.0,2300.0,99.47,True
3.0,1370.0,91.0,True
1.0,676.25,31.5,False
2.0,650.0,55.0,False
2.0,772.0,75.0,True
3.0,2428.0,133.0,True
2.0,2770.0,130.0,True
3.0,2346.0,117.3,True
2.0,1276.21,65.47,True
2.0,472.24,50.78,True
2.0,1435.61,65.95,True
2.0,1025.0,61.41,True
2.0,1332.0,74.0,False
1.0,990.0,35.0,False
2.0,668.29,53.86,True
4.0,2290.5064523633782,143.0,True
2.0,877.82,60.96,True
4.0,2889.0,143.02,False
2.0,1200.0,63.82,True
4.0,1880.0,122.27,True
2.0,893.58,57.65,True
1.5,619.41,54.07,True
1.0,582.0,40.95,False
3.0,992.0,74.2,False
3.0,743.41,69.4,True
3.0,879.56,70.37,True
1.0,571.88,36.28,False
2.0,804.88,51.52,True
2.0,972.0,83.0,False
7.0,3370.0,228.7,True
1.0,456.87,39.0,False
3.0,1627.0,65.83,True
2.0,722.26,53.74,True
1.0,629.0,42.0,True
1.0,779.41,42.82,True
2.0,739.0,63.03,True
2.0,1244.85,57.9,True
1.0,960.38,40.6,True
1.0,590.0,19.02,True
2.0,1090.48,63.4,True
2.0,1458.0,56.0,True
2.0,1080.0,52.0,True
2.0,771.32,61.72,True
2.0,639.0,44.0,True
3.0,1322.17,75.0,True
2.0,698.73,60.12,False
2.0,623.29,58.74,True
2.0,1024.5,56.5,True
2.0,1575.0,80.0,False
1.0,648.06,30.86,True
1.0,546.0,32.86,True
3.0,592.87,70.05,True
3.0,943.0,73.22,True
2.0,1603.0,40.0,True
2.0,1010.1832261816892,69.63,True
1.0,922.0,30.0,True
2.0,699.0,51.3,False
3.0,1410.0,79.0,True
2.0,1041.0,56.0,True
1.0,750.0,15.0,False
2.0,1098.9,59.26,False
4.0,3114.0,96.69,True
2.0,1350.0,64.55,True
4.0,2060.0,122.52,True
2.0,986.06,59.41,True
1.0,465.44,29.88,False
3.0,1650.0,80.0,True
3.0,912.12,78.59,False
5.0,3518.35,228.31,True
2.0,647.73,46.0,True
3.0,1050.0,96.0,True
4.0,1773.5764523633782,112.63,True
2.0,540.0,50.0,False
3.0,1480.0,80.0,False
1.5,657.0,39.0,True
2.0,1375.57,63.98,True
1.0,432.02,38.82,True
2.0,1060.0,70.0,True
3.0,1640.0,92.0,True
4.0,1687.32,119.21,True
2.0,1199.0,65.0,True
3.0,1292.0,76.36,True
2.0,740.0,60.1,False
2.0,719.0,60.0,True
2.5,2152.8165327271113,70.0,True
3.0,1560.0,95.0,True
2.0,740.0,50.0,False
3.0,970.0,85.79,True
3.0,3380.0,120.0,True
3.0,1142.48,79.0,True
1.0,820.0,55.0,False
2.0,1690.0,64.0,False
4.0,1960.0,120.0,True
1.0,613.8,29.36,True
2.5,2960.0,153.0,True
3.0,1817.0,97.62,True
5.0,3515.0,214.0,True
2.0,1340.0,68.0,True
2.0,626.73,38.6,False
2.0,1751.0,103.0,False
3.0,1850.0,132.88,True
3.0,1690.0,90.0,True
2.0,1198.43,58.46,True
2.0,925.0,71.76,True
2.0,875.0,72.0,False
2.0,595.0,54.77,False
2.0,1724.0,77.0,True
2.0,892.6,74.48,True
1.0,948.8,36.6,True
1.0,730.0,14.0,True
4.0,1520.0,118.0,True
2.0,961.0,68.0,True
3.0,670.44,66.39,True
2.0,1862.0,72.64,False
3.0,1663.46,77.37,True
4.0,980.33,85.44,True
3.0,1728.0,94.65,False
2.0,940.0,57.75,True
2.0,790.0,70.29,True
3.0,921.0,74.49,True
2.0,955.0,61.0,True
3.0,1605.0,98.45,True
3.0,800.23,67.72,True
1.0,394.0,28.0,False
2.0,929.23,56.16,True
5.0,3226.99,131.93,True
1.0,750.0,41.21,True
1.0,499.0,41.0,False
2.0,1310.66,74.53,False
2.0,930.0,33.65,True
2.5,866.0,55.74,False
2.0,809.0,53.6,False
3.0,1927.5,95.0,True
3.0,1640.0,92.36,False
1.0,470.56,37.28,True
3.0,1426.65,80.83,True
3.0,1471.0,82.67,True
3.0,804.27,77.98,True
2.0,749.0,62.81,True
4.0,2870.0,164.0,True
2.0,753.47,47.19,True
2.0,1244.95,71.73,True
2.0,859.67,71.56,True
1.0,647.0,23.37,True
3.0,2302.3798392725334,95.39,True
3.0,1179.0,81.91,True
4.0,2216.93,148.53,True
4.0,1913.95,107.73,True
2.0,1270.0,65.12,True
4.0,2970.0,121.31,True
5.0,6985.0,310.0,True
3.0,1450.0,80.5,False
5.0,1890.0,155.0,True
3.0,2177.0,92.0,True
3.0,1530.0,100.0,True
2.0,970.23,63.22,True
2.0,1049.0,90.19,False
2.0,673.0,47.54,True
3.0,2508.24,119.44,True
4.0,1290.0,84.0,True
4.0,1657.2,100.0,True
1.0,815.0,45.0,False
3.0,1798.0,105.8,False
2.0,1390.0,67.03,True
2.0,2080.35,67.14,True
2.0,810.0,66.07,True
3.0,1319.0,92.7,False
5.0,2390.45,216.28,True
